location,sex,year,val,last_update
Global,Male,2004,7545655.317,12/31/2019
Global,Female,2004,7208096.122,12/31/2019
Global,Male,2005,7697819.601,12/31/2019
Global,Female,2005,7305647.416,12/31/2019
Global,Male,2006,7698867.138,12/31/2019
Global,Female,2006,7300784.559,12/31/2019
Global,Male,2002,7369087.291,12/31/2019
Global,Female,2002,7139988.034,12/31/2019
Global,Male,2000,7061950.63,12/31/2019
Global,Female,2000,6902256.773,12/31/2019
Global,Male,2010,8250741.8,12/31/2019
Global,Female,2010,7595969.69,12/31/2019
Global,Male,2014,8717417.34,12/31/2019
Global,Female,2014,8007580.713,12/31/2019
Global,Male,2018,9407458.404,12/31/2019
Global,Female,2018,8716559.31,12/31/2019
Global,Male,2001,7194711.23,12/31/2019
Global,Female,2001,6998142.686,12/31/2019
Global,Male,2003,7498247.777,12/31/2019
Global,Female,2003,7220071.747,12/31/2019
Global,Male,2011,8357272.669,12/31/2019
Global,Female,2011,7689626.887,12/31/2019
Global,Male,2008,7980268.197,12/31/2019
Global,Female,2008,7430121.482,12/31/2019
Global,Male,2007,7792808.773,12/31/2019
Global,Female,2007,7332694.784,12/31/2019
Global,Male,2012,8486392.896,12/31/2019
Global,Female,2012,7767644.671,12/31/2019
Global,Male,2013,8617072.346,12/31/2019
Global,Female,2013,7881961.836,12/31/2019
Global,Male,2009,8082686.639,12/31/2019
Global,Female,2009,7478332.929,12/31/2019
Global,Male,2015,8905514.087,12/31/2019
Global,Female,2015,8193649.796,12/31/2019
Global,Male,2019,9625979.396,12/31/2019
Global,Female,2019,8936530.272,12/31/2019
Global,Male,2016,9067874.65,12/31/2019
Global,Female,2016,8340451.505,12/31/2019
Global,Male,2017,9206981.774,12/31/2019
Global,Female,2017,8488770.64,12/31/2019
