location,sex,age_interval,cause_id,year,val,last_update
Lebanon,Male,<5 years,1023,2000,0,12/31/2019
Lebanon,Female,<5 years,1023,2000,0,12/31/2019
Lebanon,Male,<5 years,1023,2001,0,12/31/2019
Lebanon,Female,<5 years,1023,2001,0,12/31/2019
Lebanon,Male,<5 years,1023,2002,0,12/31/2019
Lebanon,Female,<5 years,1023,2002,0,12/31/2019
Lebanon,Male,<5 years,1023,2003,0,12/31/2019
Lebanon,Female,<5 years,1023,2003,0,12/31/2019
Lebanon,Male,<5 years,1023,2004,0,12/31/2019
Lebanon,Female,<5 years,1023,2004,0,12/31/2019
Lebanon,Male,<5 years,1023,2005,0,12/31/2019
Lebanon,Female,<5 years,1023,2005,0,12/31/2019
Lebanon,Male,<5 years,1023,2006,0,12/31/2019
Lebanon,Female,<5 years,1023,2006,0,12/31/2019
Lebanon,Male,<5 years,1023,2007,0,12/31/2019
Lebanon,Female,<5 years,1023,2007,0,12/31/2019
Lebanon,Male,<5 years,1023,2008,0,12/31/2019
Lebanon,Female,<5 years,1023,2008,0,12/31/2019
Lebanon,Male,<5 years,1023,2009,0,12/31/2019
Lebanon,Female,<5 years,1023,2009,0,12/31/2019
Lebanon,Male,<5 years,1023,2010,0,12/31/2019
Lebanon,Female,<5 years,1023,2010,0,12/31/2019
Lebanon,Male,<5 years,1023,2011,0,12/31/2019
Lebanon,Female,<5 years,1023,2011,0,12/31/2019
Lebanon,Male,<5 years,1023,2012,0,12/31/2019
Lebanon,Female,<5 years,1023,2012,0,12/31/2019
Lebanon,Male,<5 years,1023,2013,0,12/31/2019
Lebanon,Female,<5 years,1023,2013,0,12/31/2019
Lebanon,Male,<5 years,1023,2014,0,12/31/2019
Lebanon,Female,<5 years,1023,2014,0,12/31/2019
Lebanon,Male,<5 years,1023,2015,0,12/31/2019
Lebanon,Female,<5 years,1023,2015,0,12/31/2019
Lebanon,Male,<5 years,1023,2016,0,12/31/2019
Lebanon,Female,<5 years,1023,2016,0,12/31/2019
Lebanon,Male,<5 years,1023,2017,0,12/31/2019
Lebanon,Female,<5 years,1023,2017,0,12/31/2019
Lebanon,Male,<5 years,1023,2018,0,12/31/2019
Lebanon,Female,<5 years,1023,2018,0,12/31/2019
Lebanon,Male,<5 years,1023,2019,0,12/31/2019
Lebanon,Female,<5 years,1023,2019,0,12/31/2019
Lebanon,Male,5-9 years,1023,2000,0,12/31/2019
Lebanon,Female,5-9 years,1023,2000,0,12/31/2019
Lebanon,Male,5-9 years,1023,2001,0,12/31/2019
Lebanon,Female,5-9 years,1023,2001,0,12/31/2019
Lebanon,Male,5-9 years,1023,2002,0,12/31/2019
Lebanon,Female,5-9 years,1023,2002,0,12/31/2019
Lebanon,Male,5-9 years,1023,2003,0,12/31/2019
Lebanon,Female,5-9 years,1023,2003,0,12/31/2019
Lebanon,Male,5-9 years,1023,2004,0,12/31/2019
Lebanon,Female,5-9 years,1023,2004,0,12/31/2019
Lebanon,Male,5-9 years,1023,2005,0,12/31/2019
Lebanon,Female,5-9 years,1023,2005,0,12/31/2019
Lebanon,Male,5-9 years,1023,2006,0,12/31/2019
Lebanon,Female,5-9 years,1023,2006,0,12/31/2019
Lebanon,Male,5-9 years,1023,2007,0,12/31/2019
Lebanon,Female,5-9 years,1023,2007,0,12/31/2019
Lebanon,Male,5-9 years,1023,2008,0,12/31/2019
Lebanon,Female,5-9 years,1023,2008,0,12/31/2019
Lebanon,Male,5-9 years,1023,2009,0,12/31/2019
Lebanon,Female,5-9 years,1023,2009,0,12/31/2019
Lebanon,Male,5-9 years,1023,2010,0,12/31/2019
Lebanon,Female,5-9 years,1023,2010,0,12/31/2019
Lebanon,Male,5-9 years,1023,2011,0,12/31/2019
Lebanon,Female,5-9 years,1023,2011,0,12/31/2019
Lebanon,Male,5-9 years,1023,2012,0,12/31/2019
Lebanon,Female,5-9 years,1023,2012,0,12/31/2019
Lebanon,Male,5-9 years,1023,2013,0,12/31/2019
Lebanon,Female,5-9 years,1023,2013,0,12/31/2019
Lebanon,Male,5-9 years,1023,2014,0,12/31/2019
Lebanon,Female,5-9 years,1023,2014,0,12/31/2019
Lebanon,Male,5-9 years,1023,2015,0,12/31/2019
Lebanon,Female,5-9 years,1023,2015,0,12/31/2019
Lebanon,Male,5-9 years,1023,2016,0,12/31/2019
Lebanon,Female,5-9 years,1023,2016,0,12/31/2019
Lebanon,Male,5-9 years,1023,2017,0,12/31/2019
Lebanon,Female,5-9 years,1023,2017,0,12/31/2019
Lebanon,Male,5-9 years,1023,2018,0,12/31/2019
Lebanon,Female,5-9 years,1023,2018,0,12/31/2019
Lebanon,Male,5-9 years,1023,2019,0,12/31/2019
Lebanon,Female,5-9 years,1023,2019,0,12/31/2019
Lebanon,Male,10-14 years,1023,2000,0,12/31/2019
Lebanon,Female,10-14 years,1023,2000,0,12/31/2019
Lebanon,Male,10-14 years,1023,2001,0,12/31/2019
Lebanon,Female,10-14 years,1023,2001,0,12/31/2019
Lebanon,Male,10-14 years,1023,2002,0,12/31/2019
Lebanon,Female,10-14 years,1023,2002,0,12/31/2019
Lebanon,Male,10-14 years,1023,2003,0,12/31/2019
Lebanon,Female,10-14 years,1023,2003,0,12/31/2019
Lebanon,Male,10-14 years,1023,2004,0,12/31/2019
Lebanon,Female,10-14 years,1023,2004,0,12/31/2019
Lebanon,Male,10-14 years,1023,2005,0,12/31/2019
Lebanon,Female,10-14 years,1023,2005,0,12/31/2019
Lebanon,Male,10-14 years,1023,2006,0,12/31/2019
Lebanon,Female,10-14 years,1023,2006,0,12/31/2019
Lebanon,Male,10-14 years,1023,2007,0,12/31/2019
