Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,ROC,Log_Loss,mathew_corrcoef,RMSE,last_update
Random Forest (Entropy),0.8340425531914893,0.828125,0.8617886178861789,0.8035714285714286,0.8446215139442231,0.8326800232288039,5.981712690108805,0.6673004414972555,0.40737875105178306,2019-12-31
MLP,0.4765957446808511,0.0,0.0,1.0,0.0,0.5,18.865401561112378,0.0,0.723466830835491,2019-12-31
K-Nearest Neighbors (K=9),0.5234042553191489,0.8666666666666667,0.10569105691056911,0.9821428571428571,0.18840579710144928,0.543916957026713,17.178251828004765,0.1794596569880158,0.6903591418101531,2019-12-31
Extra Trees (100 Estimators),0.8382978723404255,0.8057553956834532,0.9105691056910569,0.7589285714285714,0.8549618320610686,0.8347488385598142,5.828335441644476,0.6802485503353817,0.40212203080604086,2019-12-31
XGBoost (500 Estimators),0.8,0.7435897435897436,0.943089430894309,0.6428571428571429,0.8315412186379928,0.7929732868757258,7.20873067782343,0.619503467199022,0.4472135954999579,2019-12-31
SVC (Linear),0.4765957446808511,0.0,0.0,1.0,0.0,0.5,18.865401561112378,0.0,0.723466830835491,2019-12-31
SGD,0.4765957446808511,0.0,0.0,1.0,0.0,0.5,18.865401561112378,0.0,0.723466830835491,2019-12-31
AdaBoost,0.7702127659574468,0.7518248175182481,0.8373983739837398,0.6964285714285714,0.7923076923076922,0.7669134727061555,8.282371417073728,0.5407402992629583,0.4793612771621767,2019-12-31
Decision Tree,0.6595744680851063,0.6287425149700598,0.8536585365853658,0.44642857142857145,0.7241379310344828,0.6500435540069686,12.270179877146264,0.3305188350052131,0.5834599659915782,2019-12-31
Gradient Boosting,0.7829787234042553,0.8673469387755102,0.6910569105691057,0.8839285714285714,0.7692307692307693,0.7874927409988385,7.822239671680744,0.582431861634742,0.46585542456404294,2019-12-31
