location,sex,age_interval,cause_id,year,val,last_update
Lebanon,Male,<5 years,1023,2000,7.421651114,12/31/2019
Lebanon,Female,<5 years,1023,2000,4.264270829,12/31/2019
Lebanon,Male,5-9 years,1023,2000,1.974718405,12/31/2019
Lebanon,Female,5-9 years,1023,2000,0.986126985,12/31/2019
Lebanon,Male,10-14 years,1023,2000,2.414375493,12/31/2019
Lebanon,Female,10-14 years,1023,2000,1.244397646,12/31/2019
Lebanon,Male,15-19 years,1023,2000,1.36486985,12/31/2019
Lebanon,Female,15-19 years,1023,2000,0.730833545,12/31/2019
Lebanon,Male,20-24 years,1023,2000,1.488081655,12/31/2019
Lebanon,Female,20-24 years,1023,2000,0.973471539,12/31/2019
Lebanon,Male,25-29 years,1023,2000,1.869220183,12/31/2019
Lebanon,Female,25-29 years,1023,2000,1.182208966,12/31/2019
Lebanon,Male,30-34 years,1023,2000,1.660782803,12/31/2019
Lebanon,Female,30-34 years,1023,2000,1.342580234,12/31/2019
Lebanon,Male,35-39 years,1023,2000,2.151969999,12/31/2019
Lebanon,Female,35-39 years,1023,2000,2.229382323,12/31/2019
Lebanon,Male,40-44 years,1023,2000,2.402064617,12/31/2019
Lebanon,Female,40-44 years,1023,2000,2.121886284,12/31/2019
Lebanon,Male,45-49 years,1023,2000,3.257814743,12/31/2019
Lebanon,Female,45-49 years,1023,2000,2.682775655,12/31/2019
Lebanon,Male,50-54 years,1023,2000,5.095423911,12/31/2019
Lebanon,Female,50-54 years,1023,2000,4.27292729,12/31/2019
Lebanon,Male,55-59 years,1023,2000,7.067023331,12/31/2019
Lebanon,Female,55-59 years,1023,2000,5.176780948,12/31/2019
Lebanon,Male,60-64 years,1023,2000,10.62151897,12/31/2019
Lebanon,Female,60-64 years,1023,2000,8.197162688,12/31/2019
Lebanon,Male,65-69 years,1023,2000,13.54278032,12/31/2019
Lebanon,Female,65-69 years,1023,2000,11.82086553,12/31/2019
Lebanon,Male,70-74 years,1023,2000,20.24601259,12/31/2019
Lebanon,Female,70-74 years,1023,2000,17.41880437,12/31/2019
Lebanon,Male,75-79 years,1023,2000,18.88020791,12/31/2019
Lebanon,Female,75-79 years,1023,2000,20.95949392,12/31/2019
Lebanon,Male,80+ years,1023,2000,25.26218329,12/31/2019
Lebanon,Female,80+ years,1023,2000,37.6583466,12/31/2019
Lebanon,Male,<5 years,492,2001,0.462632561,12/31/2019
Lebanon,Female,<5 years,492,2001,0.133366051,12/31/2019
Lebanon,Male,5-9 years,492,2001,0.443333048,12/31/2019
Lebanon,Female,5-9 years,492,2001,0.175038525,12/31/2019
Lebanon,Male,10-14 years,492,2001,0.55473331,12/31/2019
Lebanon,Female,10-14 years,492,2001,0.318184365,12/31/2019
Lebanon,Male,15-19 years,492,2001,0.760823169,12/31/2019
Lebanon,Female,15-19 years,492,2001,0.411178633,12/31/2019
