location,sex,age_location,cause_id,year,val,last_update
Low SDI,Male,<5 years,1023,2000,33783.74503,12/31/2019
Low SDI,Female,<5 years,1023,2000,47183.83464,12/31/2019
Low SDI,Male,<5 years,1023,2001,34658.93279,12/31/2019
Low SDI,Female,<5 years,1023,2001,48398.30561,12/31/2019
Low SDI,Male,<5 years,1023,2002,35654.05464,12/31/2019
Low SDI,Female,<5 years,1023,2002,49637.43725,12/31/2019
Low SDI,Male,<5 years,1023,2003,36681.32497,12/31/2019
Low SDI,Female,<5 years,1023,2003,50891.33597,12/31/2019
Low SDI,Male,<5 years,1023,2004,37700.61565,12/31/2019
Low SDI,Female,<5 years,1023,2004,52196.89571,12/31/2019
Low SDI,Male,<5 years,1023,2005,38659.42298,12/31/2019
Low SDI,Female,<5 years,1023,2005,53584.27179,12/31/2019
Low SDI,Male,<5 years,1023,2006,39522.10048,12/31/2019
Low SDI,Female,<5 years,1023,2006,55064.2736,12/31/2019
Low SDI,Male,<5 years,1023,2007,40347.8245,12/31/2019
Low SDI,Female,<5 years,1023,2007,56625.27963,12/31/2019
Low SDI,Male,<5 years,1023,2008,41140.07664,12/31/2019
Low SDI,Female,<5 years,1023,2008,58202.04986,12/31/2019
Low SDI,Male,<5 years,1023,2009,41883.99973,12/31/2019
Low SDI,Female,<5 years,1023,2009,59710.9473,12/31/2019
Low SDI,Male,<5 years,1023,2010,42584.63825,12/31/2019
Low SDI,Female,<5 years,1023,2010,61063.59956,12/31/2019
Low SDI,Male,<5 years,1023,2011,43231.19033,12/31/2019
Low SDI,Female,<5 years,1023,2011,62284.28559,12/31/2019
Low SDI,Male,<5 years,1023,2012,43810.31314,12/31/2019
Low SDI,Female,<5 years,1023,2012,63453.40101,12/31/2019
Low SDI,Male,<5 years,1023,2013,44309.4698,12/31/2019
Low SDI,Female,<5 years,1023,2013,64543.84307,12/31/2019
Low SDI,Male,<5 years,1023,2014,44717.30687,12/31/2019
Low SDI,Female,<5 years,1023,2014,65523.84448,12/31/2019
Low SDI,Male,<5 years,1023,2015,45050.30532,12/31/2019
Low SDI,Female,<5 years,1023,2015,66382.95753,12/31/2019
Low SDI,Male,<5 years,1023,2016,45514.47079,12/31/2019
Low SDI,Female,<5 years,1023,2016,67163.71966,12/31/2019
Low SDI,Male,<5 years,1023,2017,45985.24651,12/31/2019
Low SDI,Female,<5 years,1023,2017,67965.45515,12/31/2019
Low SDI,Male,<5 years,1023,2018,46290.17095,12/31/2019
Low SDI,Female,<5 years,1023,2018,68828.7203,12/31/2019
Low SDI,Male,<5 years,1023,2019,46621.95211,12/31/2019
Low SDI,Female,<5 years,1023,2019,69863.87935,12/31/2019
Low SDI,Male,5-9 years,1023,2000,169560.8072,12/31/2019
Low SDI,Female,5-9 years,1023,2000,40344.09777,12/31/2019
Low SDI,Male,5-9 years,1023,2001,175062.906,12/31/2019
Low SDI,Female,5-9 years,1023,2001,41488.56945,12/31/2019
Low SDI,Male,5-9 years,1023,2002,181250.6777,12/31/2019
Low SDI,Female,5-9 years,1023,2002,42680.1178,12/31/2019
Low SDI,Male,5-9 years,1023,2003,187770.0164,12/31/2019
Low SDI,Female,5-9 years,1023,2003,43912.10896,12/31/2019
Low SDI,Male,5-9 years,1023,2004,194403.1996,12/31/2019
Low SDI,Female,5-9 years,1023,2004,45205.76714,12/31/2019
Low SDI,Male,5-9 years,1023,2005,200900.854,12/31/2019
Low SDI,Female,5-9 years,1023,2005,46594.31359,12/31/2019
Low SDI,Male,5-9 years,1023,2006,207228.1019,12/31/2019
Low SDI,Female,5-9 years,1023,2006,48101.03057,12/31/2019
Low SDI,Male,5-9 years,1023,2007,213714.6406,12/31/2019
Low SDI,Female,5-9 years,1023,2007,49740.24408,12/31/2019
Low SDI,Male,5-9 years,1023,2008,220364.2729,12/31/2019
Low SDI,Female,5-9 years,1023,2008,51483.20119,12/31/2019
Low SDI,Male,5-9 years,1023,2009,227156.4852,12/31/2019
Low SDI,Female,5-9 years,1023,2009,53286.86141,12/31/2019
Low SDI,Male,5-9 years,1023,2010,234092.8522,12/31/2019
Low SDI,Female,5-9 years,1023,2010,55104.67336,12/31/2019
Low SDI,Male,5-9 years,1023,2011,240983.3319,12/31/2019
Low SDI,Female,5-9 years,1023,2011,56932.96868,12/31/2019
Low SDI,Male,5-9 years,1023,2012,247736.9919,12/31/2019
Low SDI,Female,5-9 years,1023,2012,58774.44641,12/31/2019
Low SDI,Male,5-9 years,1023,2013,254318.3901,12/31/2019
Low SDI,Female,5-9 years,1023,2013,60567.13666,12/31/2019
Low SDI,Male,5-9 years,1023,2014,260640.0412,12/31/2019
Low SDI,Female,5-9 years,1023,2014,62246.27118,12/31/2019
Low SDI,Male,5-9 years,1023,2015,266719.4764,12/31/2019
Low SDI,Female,5-9 years,1023,2015,63756.57756,12/31/2019
Low SDI,Male,5-9 years,1023,2016,273601.5789,12/31/2019
Low SDI,Female,5-9 years,1023,2016,65161.43271,12/31/2019
Low SDI,Male,5-9 years,1023,2017,280426.5848,12/31/2019
Low SDI,Female,5-9 years,1023,2017,66501.95946,12/31/2019
Low SDI,Male,5-9 years,1023,2018,286143.1377,12/31/2019
Low SDI,Female,5-9 years,1023,2018,67761.50354,12/31/2019
Low SDI,Male,5-9 years,1023,2019,291356.8675,12/31/2019
Low SDI,Female,5-9 years,1023,2019,68961.47529,12/31/2019
Low SDI,Male,10-14 years,1023,2000,140578.923,12/31/2019
Low SDI,Female,10-14 years,1023,2000,114471.3981,12/31/2019
Low SDI,Male,10-14 years,1023,2001,145309.1955,12/31/2019
Low SDI,Female,10-14 years,1023,2001,117582.2421,12/31/2019
Low SDI,Male,10-14 years,1023,2002,150739.6728,12/31/2019
Low SDI,Female,10-14 years,1023,2002,120864.4524,12/31/2019
Low SDI,Male,10-14 years,1023,2003,156409.5147,12/31/2019
Low SDI,Female,10-14 years,1023,2003,124260.48,12/31/2019
Low SDI,Male,10-14 years,1023,2004,162107.6579,12/31/2019
Low SDI,Female,10-14 years,1023,2004,127838.1221,12/31/2019
Low SDI,Male,10-14 years,1023,2005,167582.1621,12/31/2019
Low SDI,Female,10-14 years,1023,2005,131646.184,12/31/2019
Low SDI,Male,10-14 years,1023,2006,172705.9379,12/31/2019
Low SDI,Female,10-14 years,1023,2006,135672.3037,12/31/2019
Low SDI,Male,10-14 years,1023,2007,177844.4008,12/31/2019
Low SDI,Female,10-14 years,1023,2007,139952.6497,12/31/2019
Low SDI,Male,10-14 years,1023,2008,183114.6669,12/31/2019
Low SDI,Female,10-14 years,1023,2008,144465.8693,12/31/2019
Low SDI,Male,10-14 years,1023,2009,188544.572,12/31/2019
Low SDI,Female,10-14 years,1023,2009,149151.7151,12/31/2019
Low SDI,Male,10-14 years,1023,2010,194218.827,12/31/2019
Low SDI,Female,10-14 years,1023,2010,153987.6224,12/31/2019
Low SDI,Male,10-14 years,1023,2011,200113.5744,12/31/2019
Low SDI,Female,10-14 years,1023,2011,159126.386,12/31/2019
Low SDI,Male,10-14 years,1023,2012,206179.8407,12/31/2019
Low SDI,Female,10-14 years,1023,2012,164667.9025,12/31/2019
Low SDI,Male,10-14 years,1023,2013,212385.9556,12/31/2019
Low SDI,Female,10-14 years,1023,2013,170445.449,12/31/2019
Low SDI,Male,10-14 years,1023,2014,218719.1481,12/31/2019
Low SDI,Female,10-14 years,1023,2014,176292.6424,12/31/2019
Low SDI,Male,10-14 years,1023,2015,225261.9177,12/31/2019
Low SDI,Female,10-14 years,1023,2015,182075.0647,12/31/2019
Low SDI,Male,10-14 years,1023,2016,232565.3909,12/31/2019
Low SDI,Female,10-14 years,1023,2016,187970.9323,12/31/2019
Low SDI,Male,10-14 years,1023,2017,240132.2679,12/31/2019
Low SDI,Female,10-14 years,1023,2017,193934.6811,12/31/2019
Low SDI,Male,10-14 years,1023,2018,247408.1406,12/31/2019
Low SDI,Female,10-14 years,1023,2018,199791.2837,12/31/2019
Low SDI,Male,10-14 years,1023,2019,254631.9037,12/31/2019
Low SDI,Female,10-14 years,1023,2019,205573.0187,12/31/2019
Low SDI,Male,15-19 years,1023,2000,178068.586,12/31/2019
Low SDI,Female,15-19 years,1023,2000,204856.6628,12/31/2019
Low SDI,Male,15-19 years,1023,2001,184267.379,12/31/2019
Low SDI,Female,15-19 years,1023,2001,211000.498,12/31/2019
Low SDI,Male,15-19 years,1023,2002,191133.3901,12/31/2019
Low SDI,Female,15-19 years,1023,2002,217128.402,12/31/2019
Low SDI,Male,15-19 years,1023,2003,198232.0926,12/31/2019
Low SDI,Female,15-19 years,1023,2003,223281.7188,12/31/2019
Low SDI,Male,15-19 years,1023,2004,205363.5965,12/31/2019
Low SDI,Female,15-19 years,1023,2004,229532.1869,12/31/2019
Low SDI,Male,15-19 years,1023,2005,212216.4526,12/31/2019
Low SDI,Female,15-19 years,1023,2005,235915.609,12/31/2019
Low SDI,Male,15-19 years,1023,2006,218571.6819,12/31/2019
Low SDI,Female,15-19 years,1023,2006,242531.6126,12/31/2019
Low SDI,Male,15-19 years,1023,2007,224836.0618,12/31/2019
Low SDI,Female,15-19 years,1023,2007,249590.6374,12/31/2019
Low SDI,Male,15-19 years,1023,2008,231223.0074,12/31/2019
Low SDI,Female,15-19 years,1023,2008,257111.0592,12/31/2019
Low SDI,Male,15-19 years,1023,2009,237983.6077,12/31/2019
Low SDI,Female,15-19 years,1023,2009,265128.067,12/31/2019
Low SDI,Male,15-19 years,1023,2010,245433.8625,12/31/2019
Low SDI,Female,15-19 years,1023,2010,273626.0455,12/31/2019
Low SDI,Male,15-19 years,1023,2011,253487.4608,12/31/2019
Low SDI,Female,15-19 years,1023,2011,282711.0249,12/31/2019
Low SDI,Male,15-19 years,1023,2012,261994.8435,12/31/2019
Low SDI,Female,15-19 years,1023,2012,292475.8106,12/31/2019
Low SDI,Male,15-19 years,1023,2013,270866.7777,12/31/2019
Low SDI,Female,15-19 years,1023,2013,302724.6533,12/31/2019
Low SDI,Male,15-19 years,1023,2014,279885.508,12/31/2019
Low SDI,Female,15-19 years,1023,2014,313254.237,12/31/2019
Low SDI,Male,15-19 years,1023,2015,289016.1533,12/31/2019
Low SDI,Female,15-19 years,1023,2015,323950.6101,12/31/2019
Low SDI,Male,15-19 years,1023,2016,299119.8748,12/31/2019
Low SDI,Female,15-19 years,1023,2016,336146.9049,12/31/2019
Low SDI,Male,15-19 years,1023,2017,309998.3745,12/31/2019
Low SDI,Female,15-19 years,1023,2017,349250.4456,12/31/2019
Low SDI,Male,15-19 years,1023,2018,321360.6246,12/31/2019
Low SDI,Female,15-19 years,1023,2018,362357.3778,12/31/2019
Low SDI,Male,15-19 years,1023,2019,333676.7307,12/31/2019
Low SDI,Female,15-19 years,1023,2019,376235.5259,12/31/2019
Low SDI,Male,20-24 years,1023,2000,98380.71736,12/31/2019
Low SDI,Female,20-24 years,1023,2000,140699.5735,12/31/2019
Low SDI,Male,20-24 years,1023,2001,102271.8259,12/31/2019
Low SDI,Female,20-24 years,1023,2001,146033.067,12/31/2019
