location,sex,age_interval,cause_id,year,val,last_update
Lebanon,Male,<5 years,492,2000,5.728654101,12/31/2019
Lebanon,Female,<5 years,492,2000,4.841555463,12/31/2019
Lebanon,Male,<5 years,492,2001,5.514401114,12/31/2019
Lebanon,Female,<5 years,492,2001,4.724418095,12/31/2019
Lebanon,Male,<5 years,492,2002,5.325675145,12/31/2019
Lebanon,Female,<5 years,492,2002,4.644627141,12/31/2019
Lebanon,Male,<5 years,492,2003,5.181699038,12/31/2019
Lebanon,Female,<5 years,492,2003,4.605401941,12/31/2019
Lebanon,Male,<5 years,492,2004,5.090361303,12/31/2019
Lebanon,Female,<5 years,492,2004,4.602091935,12/31/2019
Lebanon,Male,<5 years,492,2005,5.074175224,12/31/2019
Lebanon,Female,<5 years,492,2005,4.642138368,12/31/2019
Lebanon,Male,<5 years,492,2006,5.112010953,12/31/2019
Lebanon,Female,<5 years,492,2006,4.711656098,12/31/2019
Lebanon,Male,<5 years,492,2007,5.156868305,12/31/2019
Lebanon,Female,<5 years,492,2007,4.783507772,12/31/2019
Lebanon,Male,<5 years,492,2008,5.185884069,12/31/2019
Lebanon,Female,<5 years,492,2008,4.838023315,12/31/2019
Lebanon,Male,<5 years,492,2009,5.200910116,12/31/2019
Lebanon,Female,<5 years,492,2009,4.877978777,12/31/2019
Lebanon,Male,<5 years,492,2010,5.2528562,12/31/2019
Lebanon,Female,<5 years,492,2010,4.951676483,12/31/2019
Lebanon,Male,<5 years,492,2011,5.538434619,12/31/2019
Lebanon,Female,<5 years,492,2011,5.237999112,12/31/2019
Lebanon,Male,<5 years,492,2012,6.093895095,12/31/2019
Lebanon,Female,<5 years,492,2012,5.772694394,12/31/2019
Lebanon,Male,<5 years,492,2013,6.523676147,12/31/2019
Lebanon,Female,<5 years,492,2013,6.200007461,12/31/2019
Lebanon,Male,<5 years,492,2014,6.56831022,12/31/2019
Lebanon,Female,<5 years,492,2014,6.285665371,12/31/2019
Lebanon,Male,<5 years,492,2015,6.423562699,12/31/2019
Lebanon,Female,<5 years,492,2015,6.211467513,12/31/2019
Lebanon,Male,<5 years,492,2016,6.150569115,12/31/2019
Lebanon,Female,<5 years,492,2016,6.083101992,12/31/2019
Lebanon,Male,<5 years,492,2017,5.873248747,12/31/2019
Lebanon,Female,<5 years,492,2017,5.932868919,12/31/2019
Lebanon,Male,<5 years,492,2018,5.739170382,12/31/2019
Lebanon,Female,<5 years,492,2018,5.867287961,12/31/2019
Lebanon,Male,<5 years,492,2019,5.695517116,12/31/2019
Lebanon,Female,<5 years,492,2019,5.894739043,12/31/2019
Lebanon,Male,5-9 years,492,2000,16.69723144,12/31/2019
Lebanon,Female,5-9 years,492,2000,12.61918359,12/31/2019
Lebanon,Male,5-9 years,492,2001,15.89667024,12/31/2019
Lebanon,Female,5-9 years,492,2001,12.19930605,12/31/2019
Lebanon,Male,5-9 years,492,2002,15.04293578,12/31/2019
Lebanon,Female,5-9 years,492,2002,11.76356861,12/31/2019
Lebanon,Male,5-9 years,492,2003,14.18427951,12/31/2019
Lebanon,Female,5-9 years,492,2003,11.32294979,12/31/2019
Lebanon,Male,5-9 years,492,2004,13.40310601,12/31/2019
Lebanon,Female,5-9 years,492,2004,10.91215161,12/31/2019
Lebanon,Male,5-9 years,492,2005,12.78689634,12/31/2019
Lebanon,Female,5-9 years,492,2005,10.57582734,12/31/2019
Lebanon,Male,5-9 years,492,2006,12.33666933,12/31/2019
Lebanon,Female,5-9 years,492,2006,10.32766359,12/31/2019
Lebanon,Male,5-9 years,492,2007,12.02020874,12/31/2019
Lebanon,Female,5-9 years,492,2007,10.17218763,12/31/2019
Lebanon,Male,5-9 years,492,2008,11.85153364,12/31/2019
Lebanon,Female,5-9 years,492,2008,10.12673175,12/31/2019
Lebanon,Male,5-9 years,492,2009,11.79769377,12/31/2019
Lebanon,Female,5-9 years,492,2009,10.17060344,12/31/2019
Lebanon,Male,5-9 years,492,2010,11.90150073,12/31/2019
Lebanon,Female,5-9 years,492,2010,10.34446409,12/31/2019
Lebanon,Male,5-9 years,492,2011,12.40641965,12/31/2019
Lebanon,Female,5-9 years,492,2011,10.8338982,12/31/2019
Lebanon,Male,5-9 years,492,2012,13.30945375,12/31/2019
Lebanon,Female,5-9 years,492,2012,11.63772379,12/31/2019
Lebanon,Male,5-9 years,492,2013,14.06864426,12/31/2019
Lebanon,Female,5-9 years,492,2013,12.33392623,12/31/2019
Lebanon,Male,5-9 years,492,2014,14.45761836,12/31/2019
Lebanon,Female,5-9 years,492,2014,12.76552492,12/31/2019
Lebanon,Male,5-9 years,492,2015,14.70356049,12/31/2019
Lebanon,Female,5-9 years,492,2015,13.1638149,12/31/2019
Lebanon,Male,5-9 years,492,2016,14.63667538,12/31/2019
Lebanon,Female,5-9 years,492,2016,13.64135455,12/31/2019
Lebanon,Male,5-9 years,492,2017,14.60634301,12/31/2019
Lebanon,Female,5-9 years,492,2017,14.10278058,12/31/2019
Lebanon,Male,5-9 years,492,2018,14.87792637,12/31/2019
Lebanon,Female,5-9 years,492,2018,14.4551905,12/31/2019
Lebanon,Male,5-9 years,492,2019,15.12627775,12/31/2019
Lebanon,Female,5-9 years,492,2019,14.68801237,12/31/2019
Lebanon,Male,10-14 years,492,2000,28.07012652,12/31/2019
Lebanon,Female,10-14 years,492,2000,19.45875253,12/31/2019
Lebanon,Male,10-14 years,492,2001,27.10745872,12/31/2019
Lebanon,Female,10-14 years,492,2001,19.12606916,12/31/2019
Lebanon,Male,10-14 years,492,2002,26.20401816,12/31/2019
Lebanon,Female,10-14 years,492,2002,18.80743479,12/31/2019
Lebanon,Male,10-14 years,492,2003,25.36396049,12/31/2019
Lebanon,Female,10-14 years,492,2003,18.49630688,12/31/2019
Lebanon,Male,10-14 years,492,2004,24.55851913,12/31/2019
Lebanon,Female,10-14 years,492,2004,18.15905237,12/31/2019
Lebanon,Male,10-14 years,492,2005,23.79109353,12/31/2019
Lebanon,Female,10-14 years,492,2005,17.77913808,12/31/2019
Lebanon,Male,10-14 years,492,2006,22.98062415,12/31/2019
Lebanon,Female,10-14 years,492,2006,17.31929465,12/31/2019
Lebanon,Male,10-14 years,492,2007,22.04169024,12/31/2019
Lebanon,Female,10-14 years,492,2007,16.75847179,12/31/2019
Lebanon,Male,10-14 years,492,2008,20.96766315,12/31/2019
Lebanon,Female,10-14 years,492,2008,16.10243992,12/31/2019
Lebanon,Male,10-14 years,492,2009,19.9033598,12/31/2019
Lebanon,Female,10-14 years,492,2009,15.45247456,12/31/2019
Lebanon,Male,10-14 years,492,2010,19.04405912,12/31/2019
Lebanon,Female,10-14 years,492,2010,14.94809439,12/31/2019
Lebanon,Male,10-14 years,492,2011,18.79946742,12/31/2019
Lebanon,Female,10-14 years,492,2011,14.85814794,12/31/2019
Lebanon,Male,10-14 years,492,2012,19.16604173,12/31/2019
Lebanon,Female,10-14 years,492,2012,15.197612,12/31/2019
Lebanon,Male,10-14 years,492,2013,19.48219517,12/31/2019
Lebanon,Female,10-14 years,492,2013,15.55345103,12/31/2019
Lebanon,Male,10-14 years,492,2014,19.44991933,12/31/2019
Lebanon,Female,10-14 years,492,2014,15.74281328,12/31/2019
Lebanon,Male,10-14 years,492,2015,19.3669112,12/31/2019
Lebanon,Female,10-14 years,492,2015,16.00323131,12/31/2019
Lebanon,Male,10-14 years,492,2016,18.98257694,12/31/2019
Lebanon,Female,10-14 years,492,2016,16.50361516,12/31/2019
Lebanon,Male,10-14 years,492,2017,18.85800989,12/31/2019
Lebanon,Female,10-14 years,492,2017,17.11637582,12/31/2019
Lebanon,Male,10-14 years,492,2018,19.45012845,12/31/2019
Lebanon,Female,10-14 years,492,2018,17.74140477,12/31/2019
Lebanon,Male,10-14 years,492,2019,20.30397323,12/31/2019
Lebanon,Female,10-14 years,492,2019,18.44884754,12/31/2019
Lebanon,Male,15-19 years,492,2000,34.74751074,12/31/2019
Lebanon,Female,15-19 years,492,2000,22.62609797,12/31/2019
Lebanon,Male,15-19 years,492,2001,33.59645543,12/31/2019
Lebanon,Female,15-19 years,492,2001,22.51840239,12/31/2019
Lebanon,Male,15-19 years,492,2002,32.64167259,12/31/2019
Lebanon,Female,15-19 years,492,2002,22.449414,12/31/2019
Lebanon,Male,15-19 years,492,2003,31.8229149,12/31/2019
Lebanon,Female,15-19 years,492,2003,22.36391016,12/31/2019
Lebanon,Male,15-19 years,492,2004,31.05673546,12/31/2019
Lebanon,Female,15-19 years,492,2004,22.19905143,12/31/2019
Lebanon,Male,15-19 years,492,2005,30.47367424,12/31/2019
Lebanon,Female,15-19 years,492,2005,22.05063938,12/31/2019
Lebanon,Male,15-19 years,492,2006,29.98686363,12/31/2019
Lebanon,Female,15-19 years,492,2006,21.90186168,12/31/2019
Lebanon,Male,15-19 years,492,2007,29.47004274,12/31/2019
Lebanon,Female,15-19 years,492,2007,21.70670153,12/31/2019
Lebanon,Male,15-19 years,492,2008,28.88125716,12/31/2019
Lebanon,Female,15-19 years,492,2008,21.46054706,12/31/2019
Lebanon,Male,15-19 years,492,2009,28.20972674,12/31/2019
Lebanon,Female,15-19 years,492,2009,21.1495037,12/31/2019
Lebanon,Male,15-19 years,492,2010,27.67812123,12/31/2019
Lebanon,Female,15-19 years,492,2010,20.85674121,12/31/2019
Lebanon,Male,15-19 years,492,2011,28.17536963,12/31/2019
Lebanon,Female,15-19 years,492,2011,20.9299713,12/31/2019
Lebanon,Male,15-19 years,492,2012,29.3332993,12/31/2019
Lebanon,Female,15-19 years,492,2012,21.22277902,12/31/2019
Lebanon,Male,15-19 years,492,2013,28.94272375,12/31/2019
Lebanon,Female,15-19 years,492,2013,20.90405791,12/31/2019
Lebanon,Male,15-19 years,492,2014,26.84070456,12/31/2019
Lebanon,Female,15-19 years,492,2014,20.02918995,12/31/2019
Lebanon,Male,15-19 years,492,2015,24.69909913,12/31/2019
Lebanon,Female,15-19 years,492,2015,19.27503051,12/31/2019
Lebanon,Male,15-19 years,492,2016,22.7653735,12/31/2019
Lebanon,Female,15-19 years,492,2016,18.89302959,12/31/2019
Lebanon,Male,15-19 years,492,2017,21.61156052,12/31/2019
Lebanon,Female,15-19 years,492,2017,18.7878491,12/31/2019
Lebanon,Male,15-19 years,492,2018,21.52318473,12/31/2019
Lebanon,Female,15-19 years,492,2018,18.92725364,12/31/2019
Lebanon,Male,15-19 years,492,2019,21.80432403,12/31/2019
Lebanon,Female,15-19 years,492,2019,19.26825483,12/31/2019
Lebanon,Male,20-24 years,492,2000,33.9179502,12/31/2019
Lebanon,Female,20-24 years,492,2000,23.40388731,12/31/2019
Lebanon,Male,20-24 years,492,2001,33.50056197,12/31/2019
Lebanon,Female,20-24 years,492,2001,23.61020238,12/31/2019
Lebanon,Male,20-24 years,492,2002,33.36006529,12/31/2019
Lebanon,Female,20-24 years,492,2002,24.02551875,12/31/2019
Lebanon,Male,20-24 years,492,2003,33.02610716,12/31/2019
Lebanon,Female,20-24 years,492,2003,24.30231216,12/31/2019
Lebanon,Male,20-24 years,492,2004,32.58751345,12/31/2019
Lebanon,Female,20-24 years,492,2004,24.52949444,12/31/2019
Lebanon,Male,20-24 years,492,2005,32.36999574,12/31/2019
Lebanon,Female,20-24 years,492,2005,24.90596144,12/31/2019
Lebanon,Male,20-24 years,492,2006,32.17012982,12/31/2019
Lebanon,Female,20-24 years,492,2006,25.26448564,12/31/2019
Lebanon,Male,20-24 years,492,2007,31.81396772,12/31/2019
Lebanon,Female,20-24 years,492,2007,25.46353917,12/31/2019
Lebanon,Male,20-24 years,492,2008,31.21144546,12/31/2019
Lebanon,Female,20-24 years,492,2008,25.41249691,12/31/2019
Lebanon,Male,20-24 years,492,2009,30.45331751,12/31/2019
Lebanon,Female,20-24 years,492,2009,25.15914067,12/31/2019
Lebanon,Male,20-24 years,492,2010,30.29540046,12/31/2019
Lebanon,Female,20-24 years,492,2010,25.26154645,12/31/2019
Lebanon,Male,20-24 years,492,2011,32.97635695,12/31/2019
Lebanon,Female,20-24 years,492,2011,27.20966579,12/31/2019
Lebanon,Male,20-24 years,492,2012,38.45638793,12/31/2019
Lebanon,Female,20-24 years,492,2012,30.859405,12/31/2019
Lebanon,Male,20-24 years,492,2013,41.6364949,12/31/2019
Lebanon,Female,20-24 years,492,2013,32.75243017,12/31/2019
Lebanon,Male,20-24 years,492,2014,40.00079707,12/31/2019
Lebanon,Female,20-24 years,492,2014,31.43884177,12/31/2019
Lebanon,Male,20-24 years,492,2015,36.84381653,12/31/2019
Lebanon,Female,20-24 years,492,2015,29.23276546,12/31/2019
Lebanon,Male,20-24 years,492,2016,33.15658793,12/31/2019
Lebanon,Female,20-24 years,492,2016,27.30635616,12/31/2019
Lebanon,Male,20-24 years,492,2017,29.84186743,12/31/2019
Lebanon,Female,20-24 years,492,2017,25.62179083,12/31/2019
Lebanon,Male,20-24 years,492,2018,27.67203927,12/31/2019
Lebanon,Female,20-24 years,492,2018,24.32782932,12/31/2019
Lebanon,Male,20-24 years,492,2019,26.1074389,12/31/2019
Lebanon,Female,20-24 years,492,2019,23.52008852,12/31/2019
Lebanon,Male,25-29 years,492,2000,33.95801721,12/31/2019
Lebanon,Female,25-29 years,492,2000,27.24118027,12/31/2019
Lebanon,Male,25-29 years,492,2001,32.35543483,12/31/2019
Lebanon,Female,25-29 years,492,2001,26.49917826,12/31/2019
Lebanon,Male,25-29 years,492,2002,30.71104238,12/31/2019
Lebanon,Female,25-29 years,492,2002,25.58647104,12/31/2019
Lebanon,Male,25-29 years,492,2003,29.59413197,12/31/2019
Lebanon,Female,25-29 years,492,2003,24.95733184,12/31/2019
Lebanon,Male,25-29 years,492,2004,29.38635194,12/31/2019
Lebanon,Female,25-29 years,492,2004,24.99577257,12/31/2019
Lebanon,Male,25-29 years,492,2005,29.77155324,12/31/2019
Lebanon,Female,25-29 years,492,2005,25.55684732,12/31/2019
Lebanon,Male,25-29 years,492,2006,30.44969166,12/31/2019
Lebanon,Female,25-29 years,492,2006,26.50122173,12/31/2019
Lebanon,Male,25-29 years,492,2007,31.0694982,12/31/2019
Lebanon,Female,25-29 years,492,2007,27.52412133,12/31/2019
Lebanon,Male,25-29 years,492,2008,31.12266924,12/31/2019
Lebanon,Female,25-29 years,492,2008,28.14407796,12/31/2019
Lebanon,Male,25-29 years,492,2009,30.81019951,12/31/2019
Lebanon,Female,25-29 years,492,2009,28.50505228,12/31/2019
Lebanon,Male,25-29 years,492,2010,30.88411916,12/31/2019
Lebanon,Female,25-29 years,492,2010,29.05275354,12/31/2019
Lebanon,Male,25-29 years,492,2011,33.29586964,12/31/2019
Lebanon,Female,25-29 years,492,2011,30.90331798,12/31/2019
Lebanon,Male,25-29 years,492,2012,38.49623331,12/31/2019
Lebanon,Female,25-29 years,492,2012,34.39103521,12/31/2019
Lebanon,Male,25-29 years,492,2013,42.69391421,12/31/2019
Lebanon,Female,25-29 years,492,2013,37.38520173,12/31/2019
Lebanon,Male,25-29 years,492,2014,43.38526284,12/31/2019
Lebanon,Female,25-29 years,492,2014,38.56403243,12/31/2019
Lebanon,Male,25-29 years,492,2015,42.66301836,12/31/2019
